"id","isbn","callnumber","fail"
"0192","9789869307055","911.1 4407","fail"
"0193","9789862019689","","fail"
"0194","9789864341030","312.8 8767","fail"
"0195","9789864342365","312.73",""
"0196","9789862017883","","fail"
"0197","9789862767191","","fail"
"0198","9789864763269","BOOK 312.974 4310","fail"
"0199","9789864761982","","fail"
"0200","9789866076992","BOOK 400 8024",""
"0201","9789862283356","",""
"0202","9789866703638","",""
"0203","9789866703621","",""
"0204","9789864761333","312.32G6 455",""
"0205","9789864761753","312.32P97 8733",""
"0206","9789862766699","","fail"
"0207","9789864762729","312.32 P97 4224","fail"
"0208","9789863123439","312.952 4942.2",""
"0209","9789863700180","",""
"0210","9789861793405","",""
"0211","9789869124010","",""
"0212","9789862019542","",""
"0213","9789863795230","312.52 236.2","fail"
"0214","9789861794648","019.2 2633",""
"0215","9789578279063","",""
"0216","9789868774193","",""
"0217","9789869015257","",""
"0218","9789866033759","",""
"0219","9789866703607","",""
"0220","9789571371870","861.57 4254-31",""
"0221","9789865680367","",""
"0222","9789863477310","312.32 p97 5727",""
"0223","9789861792286","",""
"0224","9789576866067","",""
"0225","9789866185601","",""
"0226","9789571352503","",""
"0227","9789867139283","",""
"0228","9789867637420","",""
"0229","9789572239346","",""
"0230","9780321680563","","fail"
"0231","9789571342474","",""
"0232","9789867415912","",""
"0233","9789862766064","","fail"
"0234","9789862762639","","fail"
"0235","9789866482588","",""
"0236","9789866555633","",""
"0237","9789571313405","",""
"0238","9789571351032","","fail"
"0239","9780321699879","","fail"
"0240","9789862013571","","fail"
"0241","9789571341156","",""
"0242","9789571348858","",""
"0243","9789571324906","",""
"0244","9789571343945","",""
"0245","9789861242453","",""
"0246","9789576667244","","fail"
"0247","9789570517989","",""
"0248","9789570316001","",""
"0249","9780976694007","","fail"
"0250","9789576213625","",""
"0251","9789576214912","",""
"0252","9789575279776","","fail"
"0253","9789574935529","","fail"
"0254","9789571032719","",""
"0255","9789575278052","","fail"
"0256","9789578247062","BOOK 312.932P39 4248(1)","fail"
"0257","9789571323831","",""
"0258","9789571338408","",""
"0259","9789571315775","",""
"0260","9789575604509","",""
"0261","9789571338415","",""
"0262","9789575452919","",""
"0263","9789867600790","",""
"0264","9789574662807","","fail"
"0265","9789867199645","",""
"0266","9789577105943","","fail"
