id,title,isbn,link
75,高品質程式：軟體測試原則、實作與模式,9789863473060,https://share.readmoo.com/book/113615
76,物件導向設計模式,9789572054024,https://share.readmoo.com/book/506858
77,培養與鍛鍊程式設計的邏輯腦：程式設計大賽的解題策略基礎入門,9789862017074,https://share.readmoo.com/book/111033
78,設計模式的解析與活用,9789862018200,https://share.readmoo.com/book/112815
79,演算法之道--讓你學不會演算法都難(平裝),9789862760451,https://share.readmoo.com/book/105069
80,木工職人刨修技法—打造超人氣木作必備參考書,9789867139672,https://share.readmoo.com/book/160803
81,親手打造~木作小食器,9789866360718,https://share.readmoo.com/book/224355
82,木工DIY家具：打造一輩子的好伙伴,9789867167811,https://share.readmoo.com/book/215195
83,宅。設計：20 x 20 原來如此的住宅建築原理,9789571048079,https://share.readmoo.com/book/374731
84,深入淺出Node.js,9789862019405,https://share.readmoo.com/book/397756
85,從零開始學Swift程式設計,9789862019788,https://share.readmoo.com/book/113826
86,作業系統概論,9789572241004,https://share.readmoo.com/book/110717
87,駭客攻防實錄,9789862768440,https://share.readmoo.com/book/112532
88,R資料採礦與數據分析：以 GUI 套件 Rattle 結合程式語言實作,9789864760572,https://share.readmoo.com/book/695655
89,The Complete Manual of Woodworking,9780679766117,https://share.readmoo.com/book/577943
90,從零開始學木工：基礎到專業，最詳細的工具介紹＋環保家具DIY,9789866029172,https://share.readmoo.com/book/163676
91,用Arduino全面打造物聯網,9789863477983,https://share.readmoo.com/book/570260
92,超圖解 Arduino 互動設計入門,9789863120841,https://share.readmoo.com/book/110902
93,Android與8051單晶片應用開發實務,9789863472865,https://share.readmoo.com/book/427097
94,8051 單晶片徹底研究-入門篇,9789574423545,https://share.readmoo.com/book/104894
95,The C++ Programming Language國際中文版 第四版,9789863476030,https://share.readmoo.com/book/652500
96,新 C 語言入門與進階,9789572206287,https://share.readmoo.com/book/720594
97,C++ 程式語言,9789572054437,https://share.readmoo.com/book/477899
98,Java SE 7 技術手冊(平裝),9789862763100,https://share.readmoo.com/book/109655
99,"Android程式設計入門、應用到精通（第三版）（適用1.X～5.X, Android Wear穿戴式裝置）",9789863473145,https://share.readmoo.com/book/427172
100,Google！Android手機應用程式設計入門,9789866482274,https://share.readmoo.com/book/506871
101,Android 學習手冊（第二版）,9789863472186,https://share.readmoo.com/book/113688
102,C＋＋沉思錄（Ruminations on C++：A Decade of Programming Insight and Experience）,9789862019061,https://share.readmoo.com/book/113266
103,The Linux Programming Interface 國際中文版（下冊）,9789864761685,https://share.readmoo.com/book/697707
104,流暢的Python：清晰、簡潔、有效的程式設計,9789863479116,https://share.readmoo.com/book/625843
105,高效能 Python 程式設計 (High Performance Python: Practical Performant Programming for Humans),9789863477105,https://share.readmoo.com/book/493954
106,精通Python 3程式設計（第二版）(平裝),9789862760703,https://share.readmoo.com/book/104711
107,Python 3 物件導向程式設計（第二版）,9789863479819,https://share.readmoo.com/book/659136
108,Effective Python 中文版 | 寫出良好 Python 程式的 59 個具體做法 (Effective Python: 59 Specific Ways to Write Better Python),9789863477020,https://share.readmoo.com/book/493955
